Sub_Product,Rating,Count
Tangy Imli Popz,5,1878
Tangy Imli Popz,4,269
Tangy Imli Popz,3,97
Tangy Imli Popz,2,28
Tangy Imli Popz,1,17
ICE Popz,5,10
ICE Popz,4,2
ICE Popz,3,1
ICE Popz,2,0
ICE Popz,1,0
Kaccha Aam Popz,5,456
Kaccha Aam Popz,4,63
Kaccha Aam Popz,3,35
Kaccha Aam Popz,2,8
Kaccha Aam Popz,1,6
Real Aam Popz,5,248
Real Aam Popz,4,53
Real Aam Popz,3,19
Real Aam Popz,2,7
Real Aam Popz,1,5
Chilli Guava Popz,5,24
Chilli Guava Popz,4,5
Chilli Guava Popz,3,4
Chilli Guava Popz,2,0
Chilli Guava Popz,1,0
POPz Combo Pack x 2,5,91
POPz Combo Pack x 2,4,13
POPz Combo Pack x 2,3,3
POPz Combo Pack x 2,2,0
POPz Combo Pack x 2,1,0
Chilli Orange Popz Bitz,5,6
Chilli Orange Popz Bitz,4,2
Chilli Orange Popz Bitz,3,1
Chilli Orange Popz Bitz,2,0
Chilli Orange Popz Bitz,1,0
Masala Jamun Popz,5,38
Masala Jamun Popz,4,4
Masala Jamun Popz,3,2
Masala Jamun Popz,2,2
Masala Jamun Popz,1,0
Strawberry Popz - Kidz,5,17
Strawberry Popz - Kidz,4,1
Strawberry Popz - Kidz,3,0
Strawberry Popz - Kidz,2,0
Strawberry Popz - Kidz,1,0
POPz Gift Basket,5,261
POPz Gift Basket,4,43
POPz Gift Basket,3,17
POPz Gift Basket,2,0
POPz Gift Basket,1,1
Popz Aam Combo,5,386
Popz Aam Combo,4,85
Popz Aam Combo,3,29
Popz Aam Combo,2,9
Popz Aam Combo,1,3
POPz Combo (Kaccha Aam + Tangy Imli),5,52
POPz Combo (Kaccha Aam + Tangy Imli),4,2
POPz Combo (Kaccha Aam + Tangy Imli),3,0
POPz Combo (Kaccha Aam + Tangy Imli),2,0
POPz Combo (Kaccha Aam + Tangy Imli),1,0
Jaggery Kaju Katli,5,0
Jaggery Kaju Katli,4,0
Jaggery Kaju Katli,3,0
Jaggery Kaju Katli,2,0
Jaggery Kaju Katli,1,0
Premium Kaju Katli,5,2
Premium Kaju Katli,4,0
Premium Kaju Katli,3,0
Premium Kaju Katli,2,0
Premium Kaju Katli,1,0
Rose Kaju Katli,5,0
Rose Kaju Katli,4,0
Rose Kaju Katli,3,0
Rose Kaju Katli,2,0
Rose Kaju Katli,1,0
Dry Fruit Chikki,5,0
Dry Fruit Chikki,4,0
Dry Fruit Chikki,3,0
Dry Fruit Chikki,2,0
Dry Fruit Chikki,1,0
Dry Fruit Laddoo,5,1
Dry Fruit Laddoo,4,0
Dry Fruit Laddoo,3,0
Dry Fruit Laddoo,2,0
Dry Fruit Laddoo,1,0
Dry-Fruit Date Bars,5,15
Dry-Fruit Date Bars,4,1
Dry-Fruit Date Bars,3,0
Dry-Fruit Date Bars,2,0
Dry-Fruit Date Bars,1,0
Besan Laddoo,5,0
Besan Laddoo,4,0
Besan Laddoo,3,0
Besan Laddoo,2,0
Besan Laddoo,1,0
Mysore Pak,5,3
Mysore Pak,4,0
Mysore Pak,3,0
Mysore Pak,2,0
Mysore Pak,1,0
Premium Badam Katli,5,1
Premium Badam Katli,4,0
Premium Badam Katli,3,0
Premium Badam Katli,2,0
Premium Badam Katli,1,0
Coconut Laddoo,5,4
Coconut Laddoo,4,0
Coconut Laddoo,3,0
Coconut Laddoo,2,0
Coconut Laddoo,1,0
Kaju Katli Box,5,0
Kaju Katli Box,4,0
Kaju Katli Box,3,0
Kaju Katli Box,2,0
Kaju Katli Box,1,0
Kaju Katli Bar,5,1
Kaju Katli Bar,4,0
Kaju Katli Bar,3,0
Kaju Katli Bar,2,0
Kaju Katli Bar,1,0
Pista Barfi,5,8
Pista Barfi,4,0
Pista Barfi,3,0
Pista Barfi,2,0
Pista Barfi,1,0
Badam Barfi,5,8
Badam Barfi,4,3
Badam Barfi,3,0
Badam Barfi,2,0
Badam Barfi,1,0
Kaju Kishmish Barfi,5,9
Kaju Kishmish Barfi,4,0
Kaju Kishmish Barfi,3,0
Kaju Kishmish Barfi,2,0
Kaju Kishmish Barfi,1,0
Baked Ragi Chips,5,0
Baked Ragi Chips,4,1
Baked Ragi Chips,3,0
Baked Ragi Chips,2,0
Baked Ragi Chips,1,0
Spicy Lemon Bytes,5,112
Spicy Lemon Bytes,4,15
Spicy Lemon Bytes,3,5
Spicy Lemon Bytes,2,2
Spicy Lemon Bytes,1,0
Chatpata Amla Bytes,5,47
Chatpata Amla Bytes,4,14
Chatpata Amla Bytes,3,6
Chatpata Amla Bytes,2,1
Chatpata Amla Bytes,1,1
Chatpata Guava Bytes,5,24
Chatpata Guava Bytes,4,3
Chatpata Guava Bytes,3,0
Chatpata Guava Bytes,2,0
Chatpata Guava Bytes,1,0
Chilli Pineapple Bytes,5,34
Chilli Pineapple Bytes,4,9
Chilli Pineapple Bytes,3,2
Chilli Pineapple Bytes,2,1
Chilli Pineapple Bytes,1,0
Tangy Pineapple Bytes,5,28
Tangy Pineapple Bytes,4,1
Tangy Pineapple Bytes,3,2
Tangy Pineapple Bytes,2,1
Tangy Pineapple Bytes,1,2
Choco Meetha Paan,5,3
Choco Meetha Paan,4,0
Choco Meetha Paan,3,1
Choco Meetha Paan,2,0
Choco Meetha Paan,1,0
Meetha Paan Mints,5,67
Meetha Paan Mints,4,7
Meetha Paan Mints,3,1
Meetha Paan Mints,2,0
Meetha Paan Mints,1,0
Meetha Paan Mints (Pack of 2),5,43
Meetha Paan Mints (Pack of 2),4,4
Meetha Paan Mints (Pack of 2),3,2
Meetha Paan Mints (Pack of 2),2,0
Meetha Paan Mints (Pack of 2),1,0
Real Aam,5,0
Real Aam,4,0
Real Aam,3,0
Real Aam,2,0
Real Aam,1,0
Kaccha Aam,5,0
Kaccha Aam,4,0
Kaccha Aam,3,0
Kaccha Aam,2,0
Kaccha Aam,1,0
Guava,5,0
Guava,4,0
Guava,3,0
Guava,2,0
Guava,1,0
